"",gene_symbol,GSM1545535,GSM1545536,GSM1545537,GSM1545538,GSM1545539,GSM1545540,GSM1545541,GSM1545542,GSM1545543,GSM1545544,GSM1545545
ENSMUSG00000021277,Traf3,39.74788,71.4462,42.52906,68.1704,80.46309,68.67445,44.2932,59.9415,83.83824,68.11125,40.05341
ENSMUSG00000021278,Amn,0.31905,0.14671,1.0993,1.06755,0.41096,0.18231,0.24424,1.33876,0.21748,0.12119,0.12976
ENSMUSG00000021279,Cdc42bpb,137.66857,182.72329,159.87903,118.25352,141.64518,190.95986,154.63111,128.17057,138.06305,167.08667,135.77501
ENSMUSG00000021280,Exoc3l4,16.35113,11.61429,13.83282,18.13302,15.10288,9.879,8.16041,14.56701,1.70359,9.41276,12.8465
ENSMUSG00000021281,Tnfaip2,632.53631,299.01286,294.40553,7.27456,8.08227,346.7564,347.56441,15.58702,27.61986,72.31265,152.99019
ENSMUSG00000021282,Eif5,648.64816,355.49497,506.50117,551.18891,387.55505,407.30659,641.6408,619.52827,308.42177,517.25766,810.06512
ENSMUSG00000021285,Ppp1r13b,47.64428,37.55694,27.52823,27.1004,35.58253,57.0407,61.18869,29.10215,30.19336,38.53982,41.4808
ENSMUSG00000021286,Zfyve21,6.91267,7.31089,18.43613,5.00221,6.91787,7.34943,6.27834,3.76129,13.19374,6.78689,5.83932
ENSMUSG00000021287,Xrcc3,10.3956,7.84881,12.73353,5.39873,5.39389,7.16712,12.78655,10.08853,16.27469,7.99883,9.7322
ENSMUSG00000021288,Klc1,52.82879,51.9831,101.15824,50.25088,54.21284,47.28704,55.82983,62.55527,64.91754,57.00176,54.54358
ENSMUSG00000021290,2010107E04Rik,24.88563,47.06842,54.09458,44.98941,34.67499,41.7949,30.08432,31.09435,44.65573,41.24649,29.62914
ENSMUSG00000021294,Kif26a,0.31905,1.61377,5.35907,4.23968,2.84249,2.32447,0.89075,6.63006,9.93155,3.35304,0.5623
ENSMUSG00000021298,Gpr132,0.07976,0.17116,0.27482,0.59478,0.5137,0.07976,0.01437,0.62157,0,0.12119,0.04325
ENSMUSG00000021301,Hecw1,0.02659,0.02445,0.0229,0,0,0.01139,0.01437,0.01594,1.44986,0.0404,0.04325
ENSMUSG00000021302,Ggps1,15.60669,19.16969,35.20041,17.29423,15.42823,17.87792,14.95596,16.81422,27.1849,23.55211,16.9124
ENSMUSG00000021303,Gng4,0.10635,0.61128,0.11451,0.10675,0.10274,0.13673,0.2155,0.57376,0.18123,0.0404,0
ENSMUSG00000021306,Gpr137b,3.13729,19.63426,17.70326,11.81925,15.41111,15.71297,5.21519,13.99326,40.52363,25.41042,7.91552
ENSMUSG00000021311,Mtr,14.9686,11.39423,13.35188,25.54484,27.34615,13.93543,14.38128,25.57993,37.6964,11.55387,14.05762
